District,State,Growth,Sex_Ratio,Literacy,,Cities,Growth,Sex_Ratio,Literacy,Total_Population,popu.dens.,,Cities,Sex_Ratio,Literacy,popu.dens.
Washim,Maharashtra,17.34,930,83.25,,,,,,,,,,,,
Hingoli,Maharashtra,19.27,942,78.17,,,,,,,,,,,,
Gadchiroli,Maharashtra,10.58,982,74.36,,,,,,,,,,,,
Sindhudurg,Maharashtra,-2.21,1036,85.56,,,,,,,,,,,,
Imphal West,Manipur,16.56,1031,86.08,,,,,,,,,,,,
Senapati,Manipur,68.94,937,63.6,,,,,,,,,,,,
Imphal East,Manipur,15.51,1017,81.95,,,,,,,,,,,,
Thoubal,Manipur,15.94,1002,74.47,,,,,,,,,,,,
Churachandpur,Manipur,20.29,975,82.78,,,,,,,,,,,,
Bishnupur,Manipur,13.93,999,75.85,,,,,,,,,,,,
Ukhrul,Manipur,30.7,943,81.35,,,,,,,,,,,,
Chandel,Manipur,21.85,933,71.11,,,,,,,,,,,,
Tamenglong,Manipur,26.15,943,70.05,,,,,,,,,,,,
East Khasi Hills,Meghalaya,24.96,1011,84.15,,,,,,,,,,,,
West Garo Hills,Meghalaya,24.09,984,67.58,,,,,,,,,,,,
Jaintia Hills,Meghalaya,32.1,1013,61.64,,,,,,,,,,,,
West Khasi Hills,Meghalaya,29.53,980,77.87,,,,,,,,,,,,
East Garo Hills,Meghalaya,26.87,972,73.95,,,,,,,,,,,,
Ri Bhoi,Meghalaya,34.26,953,75.67,,,,,,,,,,,,
South Garo Hills,Meghalaya,40.95,945,71.72,,,,,,,,,,,,
Aizawl,Mizoram,22.92,1009,97.89,,,,,,,,,,,,
Lunglei,Mizoram,17.64,947,88.86,,,,,,,,,,,,
Champhai,Mizoram,16.01,984,95.91,,,,,,,,,,,,
Lawngtlai,Mizoram,60.14,945,65.88,,,,,,,,,,,,
Mamit,Mizoram,37.56,927,84.93,,,,,,,,,,,,
Kolasib,Mizoram,27.28,956,93.5,,,,,,,,,,,,
Serchhip,Mizoram,20.56,977,97.91,,,,,,,,,,,,
Saiha,Mizoram,-7.34,979,90.01,,,,,,,,,,,,
Dimapur,Nagaland,127.29,919,84.79,,,,,,,,,,,,
Kohima,Nagaland,131.81,928,85.23,,,,,,,,,,,,
Mon,Nagaland,80.36,899,56.99,,,,,,,,,,,,
Tuensang,Nagaland,94.83,929,73.08,,,,,,,,,,,,
Mokokchung,Nagaland,60.94,925,91.62,,,,,,,,,,,,
Wokha,Nagaland,98.81,968,87.69,,,,,,,,,,,,
Phek,Nagaland,111.84,951,78.05,,,,,,,,,,,,
Zunheboto,Nagaland,78.05,976,85.26,,,,,,,,,,,,
Peren,Nagaland,104.15,915,77.95,,,,,,,,,,,,
Kiphire,Nagaland,38.58,956,69.54,,,,,,,,,,,,
Longleng,Nagaland,-21.57,905,72.17,,,,,,,,,,,,
Ganjam,Orissa,11.66,983,71.09,,,,,,,,,,,,
Cuttack,Orissa,12.1,940,85.5,,,,,,,,,,,,
Mayurbhanj,Orissa,13.33,1006,63.17,,,,,,,,,,,,
Baleshwar,Orissa,14.62,957,79.79,,,,,,,,,,,,
Khordha,Orissa,19.94,929,86.88,,,,,,,,,,,,
Sundargarh,Orissa,14.35,973,73.34,,,,,,,,,,,,
Jajapur,Orissa,12.49,973,80.13,,,,,,,,,,,,
Kendujhar,Orissa,15.35,988,68.24,,,,,,,,,,,,
Puri,Orissa,13.05,963,84.67,,,,,,,,,,,,
Balangir,Orissa,23.32,987,64.72,,,,,,,,,,,,
Kalahandi,Orissa,18.07,1003,59.22,,,,,,,,,,,,
Bhadrak,Orissa,12.94,981,82.78,,,,,,,,,,,,
Bargarh,Orissa,10.02,977,74.62,,,,,,,,,,,,
Kendrapara,Orissa,10.63,1007,85.15,,,,,,,,,,,,
Koraput,Orissa,16.86,1032,49.21,,,,,,,,,,,,
Anugul,Orissa,11.74,943,77.53,,,,,,,,,,,,
Nabarangapur,Orissa,19.03,1019,46.43,,,,,,,,,,,,
Dhenkanal,Orissa,11.8,947,78.76,,,,,,,,,,,,
Jagatsinghapur,Orissa,7.5,968,86.59,,,,,,,,,,,,
Sambalpur,Orissa,11.27,976,76.22,,,,,,,,,,,,
Rayagada,Orissa,16.46,1051,49.76,,,,,,,,,,,,
Nayagarh,Orissa,11.37,915,80.42,,,,,,,,,,,,
Kandhamal,Orissa,13.1,1037,64.13,,,,,,,,,,,,
Malkangiri,Orissa,21.62,1020,48.54,,,,,,,,,,,,
Nuapada,Orissa,15.02,1021,57.35,,,,,,,,,,,,
Subarnapur,Orissa,12.61,960,74.42,,,,,,,,,,,,
Jharsuguda,Orissa,13.69,953,78.86,,,,,,,,,,,,
Gajapati,Orissa,11.37,1043,53.49,,,,,,,,,,,,
Baudh,Orissa,18.16,991,71.61,,,,,,,,,,,,
Debagarh,Orissa,14.01,975,72.57,,,,,,,,,,,,
Puducherry,Puducherry,29.23,1029,85.44,,,,,,,,,,,,
Karaikal,Puducherry,17.23,1047,87.05,,,,,,,,,,,,
Yanam,Puducherry,77.19,1038,79.47,,,,,,,,,,,,
Mahe,Puducherry,13.54,1184,97.87,,,,,,,,,,,,
Ludhiana,Punjab,15.36,873,82.2,,,,,,,,,,,,
Amritsar,Punjab,15.47,889,76.27,,,,,,,,,,,,
Gurdaspur,Punjab,9.26,895,79.95,,,,,,,,,,,,
Jalandhar,Punjab,11.76,915,82.48,,,,,,,,,,,,
Firozpur,Punjab,16.21,893,68.92,,,,,,,,,,,,
Patiala,Punjab,19.62,891,75.28,,,,,,,,,,,,
Sangrur,Punjab,12.35,885,67.99,,,,,,,,,,,,
Hoshiarpur,Punjab,7.11,961,84.59,,,,,,,,,,,,
Bathinda,Punjab,17.34,868,68.28,,,,,,,,,,,,
Tarn Taran,Punjab,19.23,900,67.81,,,,,,,,,,,,
Moga,Punjab,11.28,893,70.68,,,,,,,,,,,,
Mohali,Punjab,33.15,879,83.8,,,,,,,,,,,,
Muktsar,Punjab,16,896,65.81,,,,,,,,,,,,
Kapurthala,Punjab,8.04,912,79.07,,,,,,,,,,,,
Mansa,Punjab,11.76,883,61.83,,,,,,,,,,,,
Rupnagar,Punjab,8.87,915,82.19,,,,,,,,,,,,
Faridkot,Punjab,12.09,890,69.55,,,,,,,,,,,,
Shahid Bhagat Singh Nagar,Punjab,4.23,954,79.78,,,,,,,,,,,,
Fatehgarh Sahib,Punjab,11.46,871,79.35,,,,,,,,,,,,
Barnala,Punjab,13.02,876,67.82,,,,,,,,,,,,
Jaipur,Rajasthan,26.19,910,75.51,,,,,,,,,,,,
Jodhpur,Rajasthan,27.74,916,65.94,,,,,,,,,,,,
Alwar,Rajasthan,22.78,895,70.72,,,,,,,,,,,,
Nagaur,Rajasthan,19.2,950,62.8,,,,,,,,,,,,
Udaipur,Rajasthan,23.69,958,61.82,,,,,,,,,,,,
Sikar,Rajasthan,17.03,947,71.91,,,,,,,,,,,,
Barmer,Rajasthan,32.52,902,56.53,,,,,,,,,,,,
Ajmer,Rajasthan,18.4,951,69.33,,,,,,,,,,,,
Bharatpur,Rajasthan,21.29,880,70.11,,,,,,,,,,,,
Bhilwara,Rajasthan,19.6,973,61.37,,,,,,,,,,,,
Bikaner,Rajasthan,41.19,905,65.13,,,,,,,,,,,,
Jhunjhunun,Rajasthan,11.67,950,74.13,,,,,,,,,,,,
Churu,Rajasthan,6.01,940,66.75,,,,,,,,,,,,
Pali,Rajasthan,11.94,987,62.39,,,,,,,,,,,,
Ganganagar,Rajasthan,10.04,887,69.64,,,,,,,,,,,,
Kota,Rajasthan,24.39,911,76.56,,,,,,,,,,,,
Jalor,Rajasthan,26.21,952,54.86,,,,,,,,,,,,
Banswara,Rajasthan,26.53,980,56.33,,,,,,,,,,,,
Hanumangarh,Rajasthan,16.91,906,67.13,,,,,,,,,,,,
Dausa,Rajasthan,24.09,905,68.16,,,,,,,,,,,,
Chittaurgarh,Rajasthan,16.08,972,61.71,,,,,,,,,,,,
Karauli,Rajasthan,20.55,861,66.22,,,,,,,,,,,,
Tonk,Rajasthan,17.3,952,61.58,,,,,,,,,,,,
Jhalawar,Rajasthan,19.55,946,61.5,,,,,,,,,,,,
Dungarpur,Rajasthan,25.36,994,59.46,,,,,,,,,,,,
Sawai Madhopur,Rajasthan,19.56,897,65.39,,,,,,,,,,,,
Baran,Rajasthan,19.68,929,66.66,,,,,,,,,,,,
Dhaulpur,Rajasthan,22.71,846,69.08,,,,,,,,,,,,
Rajsamand,Rajasthan,17.18,990,63.14,,,,,,,,,,,,
Bundi,Rajasthan,15.4,925,61.52,,,,,,,,,,,,
Sirohi,Rajasthan,21.76,940,55.25,,,,,,,,,,,,
Pratapgarh,Rajasthan,22.78,983,55.97,,,,,,,,,,,,
Jaisalmer,Rajasthan,31.81,852,57.22,,,,,,,,,,,,
East Sikkim,Sikkim,15.73,873,83.85,,,,,,,,,,,,
South Sikkim,Sikkim,11.65,915,81.42,,,,,,,,,,,,
West Sikkim,Sikkim,10.69,942,77.39,,,,,,,,,,,,
North Sikkim,Sikkim,6.53,767,78.01,,,,,,,,,,,,
Chennai,Tamil Nadu,6.98,989,90.18,,,,,,,,,,,,
Kancheepuram,Tamil Nadu,38.95,986,84.49,,,,,,,,,,,,
Vellore,Tamil Nadu,13.2,1007,79.17,,,,,,,,,,,,
Thiruvallur,Tamil Nadu,35.33,987,84.03,,,,,,,,,,,,
Salem,Tamil Nadu,15.44,954,72.86,,,,,,,,,,,,
Viluppuram,Tamil Nadu,16.84,987,71.88,,,,,,,,,,,,
Coimbatore,Tamil Nadu,18.56,1000,83.98,,,,,,,,,,,,
Tirunelveli,Tamil Nadu,12.97,1023,82.5,,,,,,,,,,,,
Madurai,Tamil Nadu,17.84,990,83.45,,,,,,,,,,,,
Tiruchirappalli,Tamil Nadu,12.57,1013,83.23,,,,,,,,,,,,
Cuddalore,Tamil Nadu,14.02,987,78.04,,,,,,,,,,,,
Tiruppur,Tamil Nadu,29.11,989,78.68,,,,,,,,,,,,
Tiruvannamalai,Tamil Nadu,12.75,994,74.21,,,,,,,,,,,,
Thanjavur,Tamil Nadu,8.56,1035,82.64,,,,,,,,,,,,
Erode,Tamil Nadu,11.66,993,72.58,,,,,,,,,,,,
Dindigul,Tamil Nadu,12.31,998,76.26,,,,,,,,,,,,
Virudhunagar,Tamil Nadu,10.91,1007,80.15,,,,,,,,,,,,
Krishnagiri,Tamil Nadu,20.41,958,71.46,,,,,,,,,,,,
Kanniyakumari,Tamil Nadu,11.6,1019,91.75,,,,,,,,,,,,
Thoothukkudi,Tamil Nadu,11.32,1023,86.16,,,,,,,,,,,,
Namakkal,Tamil Nadu,15.61,986,74.63,,,,,,,,,,,,
Pudukkottai,Tamil Nadu,10.88,1015,77.19,,,,,,,,,,,,
Nagapattinam,Tamil Nadu,8.57,1025,83.59,,,,,,,,,,,,
Dharmapuri,Tamil Nadu,16.34,946,68.54,,,,,,,,,,,,
Ramanathapuram,Tamil Nadu,13.96,983,80.72,,,,,,,,,,,,
Sivaganga,Tamil Nadu,15.9,1003,79.85,,,,,,,,,,,,
Thiruvarur,Tamil Nadu,8.11,1017,82.86,,,,,,,,,,,,
Theni,Tamil Nadu,13.89,991,77.26,,,,,,,,,,,,
Karur,Tamil Nadu,13.77,1015,75.6,,,,,,,,,,,,
Ariyalur,Tamil Nadu,8.54,1015,71.34,,,,,,,,,,,,
The Nilgiris,Tamil Nadu,-3.51,1042,85.2,,,,,,,,,,,,
Perambalur,Tamil Nadu,14.5,1003,74.32,,,,,,,,,,,,
West Tripura,Tripura,12.57,962,88.69,,,,,,,,,,,,
South Tripura,Tripura,14.15,957,84.66,,,,,,,,,,,,
North Tripura,Tripura,17.44,967,87.5,,,,,,,,,,,,
Dhalai,Tripura,22.85,944,85.72,,,,,,,,,,,,
Allahabad,Uttar Pradesh,20.63,901,72.32,,,,,,,,,,,,
Moradabad,Uttar Pradesh,25.22,906,56.77,,,,,,,,,,,,
Ghaziabad,Uttar Pradesh,42.27,881,78.07,,,,,,,,,,,,
Azamgarh,Uttar Pradesh,17.11,1019,70.93,,,,,,,,,,,,
Lucknow,Uttar Pradesh,25.82,917,77.29,,,,,,,,,,,,
Kanpur Nagar,Uttar Pradesh,9.92,862,79.65,,,,,,,,,,,,
Jaunpur,Uttar Pradesh,14.89,1024,71.55,,,,,,,,,,,,
Sitapur,Uttar Pradesh,23.88,888,61.12,,,,,,,,,,,,
Bareilly,Uttar Pradesh,22.93,887,58.49,,,,,,,,,,,,
Gorakhpur,Uttar Pradesh,17.81,950,70.83,,,,,,,,,,,,
Agra,Uttar Pradesh,22.05,868,71.58,,,,,,,,,,,,
Muzaffarnagar,Uttar Pradesh,16.94,889,69.12,,,,,,,,,,,,
Hardoi,Uttar Pradesh,20.44,868,64.57,,,,,,,,,,,,
Kheri,Uttar Pradesh,25.38,894,60.56,,,,,,,,,,,,
Sultanpur,Uttar Pradesh,18.11,983,69.27,,,,,,,,,,,,
Bijnor,Uttar Pradesh,17.6,917,68.48,,,,,,,,,,,,
Budaun,Uttar Pradesh,19.95,871,51.29,,,,,,,,,,,,
Varanasi,Uttar Pradesh,17.15,913,75.6,,,,,,,,,,,,
Aligarh,Uttar Pradesh,22.78,882,67.52,,,,,,,,,,,,
Ghazipur,Uttar Pradesh,19.18,952,71.78,,,,,,,,,,,,
Kushinagar,Uttar Pradesh,23.2,961,65.25,,,,,,,,,,,,
Bulandshahar,Uttar Pradesh,20.12,896,68.88,,,,,,,,,,,,
Bahraich,Uttar Pradesh,46.48,892,49.36,,,,,,,,,,,,
Saharanpur,Uttar Pradesh,19.66,890,70.49,,,,,,,,,,,,
Meerut,Uttar Pradesh,14.89,886,72.84,,,,,,,,,,,,
Gonda,Uttar Pradesh,24.17,921,58.71,,,,,,,,,,,,
Rae Bareli,Uttar Pradesh,18.56,943,67.25,,,,,,,,,,,,
Barabanki,Uttar Pradesh,21.96,910,61.75,,,,,,,,,,,,
Ballia,Uttar Pradesh,17.31,937,70.94,,,,,,,,,,,,
Pratapgarh,Uttar Pradesh,17.5,998,70.09,,,,,,,,,,,,
Unnao,Uttar Pradesh,15.11,907,66.37,,,,,,,,,,,,
Deoria,Uttar Pradesh,14.31,1017,71.13,,,,,,,,,,,,
Shahjahanpur,Uttar Pradesh,18,872,59.54,,,,,,,,,,,,
Maharajganj,Uttar Pradesh,23.5,943,62.76,,,,,,,,,,,,
Fatehpur,Uttar Pradesh,14.05,901,67.43,,,,,,,,,,,,
Siddharth Nagar,Uttar Pradesh,25.45,976,59.25,,,,,,,,,,,,
Mathura,Uttar Pradesh,22.78,863,70.36,,,,,,,,,,,,
Firozabad,Uttar Pradesh,21.69,875,71.92,,,,,,,,,,,,
Mirzapur,Uttar Pradesh,18,903,68.48,,,,,,,,,,,,
Faizabad,Uttar Pradesh,18.29,962,68.73,,,,,,,,,,,,
Basti,Uttar Pradesh,18.21,963,67.22,,,,,,,,,,,,
Ambedkar Nagar,Uttar Pradesh,18.3,978,72.23,,,,,,,,,,,,
Rampur,Uttar Pradesh,21.42,909,53.34,,,,,,,,,,,,
Mau,Uttar Pradesh,18.98,979,73.09,,,,,,,,,,,,
Balrampur,Uttar Pradesh,27.72,928,49.51,,,,,,,,,,,,
Pilibhit,Uttar Pradesh,23.45,895,61.47,,,,,,,,,,,,
Jhansi,Uttar Pradesh,14.54,890,75.05,,,,,,,,,,,,
Chandauli,Uttar Pradesh,18.83,918,71.48,,,,,,,,,,,,
Farrukhabad,Uttar Pradesh,20.05,874,69.04,,,,,,,,,,,,
Mainpuri,Uttar Pradesh,17.02,881,75.99,,,,,,,,,,,,
Sonbhadra,Uttar Pradesh,27.27,918,64.03,,,,,,,,,,,,
Jyotiba Phule Nagar,Uttar Pradesh,22.76,910,63.84,,,,,,,,,,,,
Banda,Uttar Pradesh,17.05,863,66.67,,,,,,,,,,,,
Ramabai Nagar,Uttar Pradesh,14.89,865,75.78,,,,,,,,,,,,
Etah,Uttar Pradesh,13.62,873,70.81,,,,,,,,,,,,
Sant Kabir Nagar,Uttar Pradesh,20.77,972,66.72,,,,,,,,,,,,
Jalaun,Uttar Pradesh,16.19,865,73.75,,,,,,,,,,,,
Kannauj,Uttar Pradesh,19.27,879,72.7,,,,,,,,,,,,
Gautam Buddha Nagar,Uttar Pradesh,37.11,851,80.12,,,,,,,,,,,,
Kaushambi,Uttar Pradesh,23.7,908,61.28,,,,,,,,,,,,
Etawah,Uttar Pradesh,18.15,870,78.41,,,,,,,,,,,,
Sant Ravidas Nagar,Uttar Pradesh,16.58,955,68.97,,,,,,,,,,,,
Mahamaya Nagar,Uttar Pradesh,17.12,871,71.59,,,,,,,,,,,,
Kanshiram Nagar,Uttar Pradesh,16.93,880,61.02,,,,,,,,,,,,
Auraiya,Uttar Pradesh,16.91,864,78.95,,,,,,,,,,,,
Baghpat,Uttar Pradesh,11.95,861,72.01,,,,,,,,,,,,
Lalitpur,Uttar Pradesh,24.94,906,63.52,,,,,,,,,,,,
Shrawasti,Uttar Pradesh,-5.02,881,46.74,,,,,,,,,,,,
Hamirpur,Uttar Pradesh,5.8,861,68.77,,,,,,,,,,,,
Chitrakoot,Uttar Pradesh,29.43,879,65.05,,,,,,,,,,,,
Mahoba,Uttar Pradesh,23.64,878,65.27,,,,,,,,,,,,
Haridwar,Uttarakhand,30.63,880,73.43,,,,,,,,,,,,
Dehradun,Uttarakhand,32.33,902,84.25,,,,,,,,,,,,
Udham Singh Nagar,Uttarakhand,33.45,920,73.1,,,,,,,,,,,,
Nainital,Uttarakhand,25.13,934,83.88,,,,,,,,,,,,
Pauri Garhwal,Uttarakhand,-1.41,1103,82.02,,,,,,,,,,,,
Almora,Uttarakhand,-1.28,1139,80.47,,,,,,,,,,,,
Tehri Garhwal,Uttarakhand,2.35,1077,76.36,,,,,,,,,,,,
Pithoragarh,Uttarakhand,4.58,1020,82.25,,,,,,,,,,,,
Chamoli,Uttarakhand,5.74,1019,82.65,,,,,,,,,,,,
Uttarkashi,Uttarakhand,11.89,958,75.81,,,,,,,,,,,,
Bageshwar,Uttarakhand,4.18,1090,80.01,,,,,,,,,,,,
Champawat,Uttarakhand,15.63,980,79.83,,,,,,,,,,,,
Rudraprayag,Uttarakhand,6.53,1114,81.3,,,,,,,,,,,,
North Twenty Four Parganas,West Bengal,12.04,955,84.06,,,,,,,,,,,,
South Twenty Four Parganas,West Bengal,18.17,956,77.51,,,,,,,,,,,,
Barddhaman,West Bengal,11.92,945,76.21,,,,,,,,,,,,
Murshidabad,West Bengal,21.09,958,66.59,,,,,,,,,,,,
Paschim Medinipur,West Bengal,13.86,966,78,,,,,,,,,,,,
Hugli,West Bengal,9.46,961,81.8,,,,,,,,,,,,
Nadia,West Bengal,12.22,947,74.97,,,,,,,,,,,,
Purba Medinipur,West Bengal,15.36,938,87.02,,,,,,,,,,,,
Haora,West Bengal,13.5,939,83.31,,,,,,,,,,,,
Kolkata,West Bengal,-1.67,908,86.31,,,,,,,,,,,,
Maldah,West Bengal,21.22,944,61.73,,,,,,,,,,,,
Jalpaiguri,West Bengal,13.87,953,73.25,,,,,,,,,,,,
Bankura,West Bengal,12.65,957,70.26,,,,,,,,,,,,
Birbhum,West Bengal,16.15,956,70.68,,,,,,,,,,,,
Uttar Dinajpur,West Bengal,23.15,939,59.07,,,,,,,,,,,,
Puruliya,West Bengal,15.52,957,64.48,,,,,,,,,,,,
Koch Bihar,West Bengal,13.71,942,74.78,,,,,,,,,,,,
Darjiling,West Bengal,14.77,970,79.56,,,,,,,,,,,,
Dakshin Dinajpur,West Bengal,11.52,956,72.82,,,,,,,,,,,,
