District,State,Growth,Sex_Ratio,Literacy,,Cities,Growth,Sex_Ratio,Literacy,Total_Population,popu.dens.,,Cities,Sex_Ratio,Literacy,popu.dens.
Vaishali,Bihar,28.57,895,66.6,,,,,,,,,,,,
Sitamarhi,Bihar,27.62,899,52.05,,,,,,,,,,,,
Siwan,Bihar,22.7,988,69.45,,,,,,,,,,,,
Purnia,Bihar,28.33,921,51.08,,,,,,,,,,,,
Katihar,Bihar,28.35,919,52.24,,,,,,,,,,,,
Bhagalpur,Bihar,25.36,880,63.14,,,,,,,,,,,,
Begusarai,Bihar,26.44,895,63.87,,,,,,,,,,,,
Rohtas,Bihar,20.78,918,73.37,,,,,,,,,,,,
Nalanda,Bihar,21.39,922,64.43,,,,,,,,,,,,
Araria,Bihar,30.25,921,53.53,,,,,,,,,,,,
Bhojpur,Bihar,21.63,907,70.47,,,,,,,,,,,,
Gopalganj,Bihar,19.02,1021,65.47,,,,,,,,,,,,
Aurangabad,Bihar,26.18,926,70.32,,,,,,,,,,,,
Supaul,Bihar,28.66,929,57.67,,,,,,,,,,,,
Nawada,Bihar,22.63,939,59.76,,,,,,,,,,,,
Banka,Bihar,26.48,907,58.17,,,,,,,,,,,,
Madhepura,Bihar,31.12,911,52.25,,,,,,,,,,,,
Saharsa,Bihar,26.02,906,53.2,,,,,,,,,,,,
Jamui,Bihar,25.85,922,59.79,,,,,,,,,,,,
Buxar,Bihar,21.67,922,70.14,,,,,,,,,,,,
Kishanganj,Bihar,30.4,950,55.46,,,,,,,,,,,,
Khagaria,Bihar,30.19,886,57.92,,,,,,,,,,,,
Kaimur,Bihar,26.17,920,69.34,,,,,,,,,,,,
Munger,Bihar,20.21,876,70.46,,,,,,,,,,,,
Jehanabad,Bihar,21.68,922,66.8,,,,,,,,,,,,
Lakhisarai,Bihar,24.77,902,62.42,,,,,,,,,,,,
Arwal,Bihar,18.89,928,67.43,,,,,,,,,,,,
Sheohar,Bihar,27.19,893,53.78,,,,,,,,,,,,
Sheikhpura,Bihar,21.09,930,63.86,,,,,,,,,,,,
Chandigarh,Chandigarh,17.19,818,86.05,,,,,,,,,,,,
Raipur,Chhattisgarh,34.7,984,75.56,,,,,,,,,,,,
Durg,Chhattisgarh,18.98,988,79.06,,,,,,,,,,,,
Bilaspur,Chhattisgarh,33.29,971,70.78,,,,,,,,,,,,
Surguja,Chhattisgarh,19.66,978,60.01,,,,,,,,,,,,
Janjgir Champa,Chhattisgarh,22.94,986,73.07,,,,,,,,,,,,
Rajnandgaon,Chhattisgarh,19.79,1015,75.96,,,,,,,,,,,,
Raigarh,Chhattisgarh,18.05,991,73.26,,,,,,,,,,,,
Bastar,Chhattisgarh,17.96,1023,54.4,,,,,,,,,,,,
Korba,Chhattisgarh,19.25,969,72.37,,,,,,,,,,,,
Mahasamund,Chhattisgarh,20.05,1017,71.02,,,,,,,,,,,,
Jashpur,Chhattisgarh,14.6,1005,67.92,,,,,,,,,,,,
Kabirdham,Chhattisgarh,40.71,996,60.85,,,,,,,,,,,,
Dhamtari,Chhattisgarh,13.19,1010,78.36,,,,,,,,,,,,
Kanker,Chhattisgarh,15.06,1006,70.29,,,,,,,,,,,,
Korea,Chhattisgarh,12.38,968,70.64,,,,,,,,,,,,
Dantewada,Chhattisgarh,12.08,1020,42.12,,,,,,,,,,,,
Bijapur,Chhattisgarh,8.78,984,40.86,,,,,,,,,,,,
Narayanpur,Chhattisgarh,19.16,994,48.62,,,,,,84.45,,,,,,
Dadra and Nagar Haveli,Dadra and Nagar Haveli,55.88,774,76.24,,,,,,86.57,,,,,,
Daman,Daman and Diu,67.71,534,88.07,,,,,,86.98,,,,,,
Diu,Daman and Diu,17.77,1031,83.46,,,,,,88.28,,,,,,
North West Delhi,Delhi,27.81,865,84.45,,,,,,83.09,,,,,,
South Delhi,Delhi,20.51,862,86.57,,,,,,89.31,,,,,,
West Delhi,Delhi,19.46,875,86.98,,,,,,86.85,,,,,,
South West Delhi,Delhi,30.65,840,88.28,,,,,,85.14,,,,,,
North East Delhi,Delhi,26.78,886,83.09,,,,,,88.34,,,,,,
East Delhi,Delhi,16.79,884,89.31,,,,,,,,,,,,
North Delhi,Delhi,13.62,869,86.85,,,,,,779.01,86.55666667,,,,,
Central Delhi,Delhi,-9.91,892,85.14,,,,,,,,,,,,
New Delhi,Delhi,-20.72,822,88.34,,,,,,,,,,,,
North Goa,Goa,7.84,963,89.57,,,,,,,,,,,,
South Goa,Goa,8.73,986,87.59,,,,,,,,,,,,
Ahmadabad,Gujarat,24.03,904,85.31,,,,,,,,,,,,
Surat,Gujarat,42.24,787,85.53,,,,,,,,,,,,
Vadodara,Gujarat,14.38,934,78.92,,,,,,,,,,,,
Rajkot,Gujarat,20.02,927,80.96,,,,,,,,,,,,
Banaskantha,Gujarat,24.61,938,65.32,,,,,,,,,,,,
Bhavnagar,Gujarat,16.63,933,75.52,,,,,,,,,,,,
Junagadh,Gujarat,12.05,953,75.8,,,,,,,,,,,,
Sabarkantha,Gujarat,16.62,952,75.79,,,,,,,,,,,,
PanchMahal,Gujarat,18.05,949,70.99,,,,,,,,,,,,
Kheda,Gujarat,13.62,940,82.65,,,,,,,,,,,,
Jamnagar,Gujarat,13.44,939,73.65,,,,,,,,,,,,
Dohad,Gujarat,29.98,990,58.82,,,,,,,,,,,,
Anand,Gujarat,12.7,925,84.37,,,,,,,,,,,,
Kachchh,Gujarat,32.16,908,70.59,,,,,,,,,,,,
Mahesana,Gujarat,10.73,926,83.61,,,,,,,,,,,,
Surendranagar,Gujarat,15.91,930,72.13,,,,,,,,,,,,
